"S023296"	"S023297"	"S023300"	"S023301"	"S023312"	"S023313"	"S023314"	"S023318"	"S023322"	"S023331"	"S023332"	"S023333"	"S023334"	"S023335"	"S023336"	"S023337"	"S023351"	"S023355"	"S023360"	"S023361"	"S023372"	"S023373"	"S023374"	"S023375"	"S023377"	"S023379"	"S023380"	"S023381"	"S023382"
"d114e29eb6c0fb6f8f898bb654d5279c"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"f88e688756c92b353d3dbe78887f5d75"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"f3779f94fb983c0b24d1986745313fd6"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"2f3581322cb1ea41eff88a0dfef7c4c1"	0	7	0	0	0	0	0	0	0	0	18	12	0	0	0	0	0	0	0	0	0	0	10	0	25	0	0	0	0
"2c3db82d6229cfb93392a214a127e753"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"7bbc22b8fdb9b7857bff7f7b86ad32a5"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
"0867f95c16cd77467471cf47450e9b60"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	18	0
"9c7bf7e344fbe6bfb00e8237856f88ea"	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0
"d1261cf2f13d82dcae7a683fce6a777b"	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"bf11f611b455ab15c40bd9fdf5bafa4d"	8	6	32	5	0	15	0	0	30	27	34	19	22	0	37	0	0	20	10	26	0	19	39	0	21	0	0	29	0
"7cab2f220993c1d84e0fb102176e0eee"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
"886813d6c66ef41ef648c9b92ffde619"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"fa976d49e5adb42fefa05c362c81ef5b"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"195a54476a1802d75e0e773601fe964b"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"fd10066b8cc30cf6a7f1036e45437887"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"807f97bfabb461e875333001616b643b"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"7ff346973a282aa55de296afdb5d74af"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"51d13ba2593c3ea244060123662e16ae"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"0da32f8f5c5fe39c14b5309de056e8b3"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"36ce67b3fecce277df99829617975495"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"2b750058c3993fe133ada15518097537"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"72cfef965d4c182380387696c15d52a2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"37cdf61e5e8cc1b3583322a96666a1ca"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"dd810e56ef10319bb50b0f8c0cfa70b9"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"fac54fffc3590462dcdb5d93230fbb44"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"350a389475f027a65ba3dd230ca1c51c"	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0
"19511f1d4673bf6b678aebbd39b9746e"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0
"d222db6689cec40aafa0960c2ae8fc5d"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0
"6068485462b6fdf688338b1efa153a1a"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
"51ec511b62cd8475e994aa525b7f23f8"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"0115b1ace27f2a36aa8eaf9f7671ceb6"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0
"15ffbacc8ecc5abe9a3180319210ed01"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"5d0594749fb3daf9faeba3655f539b4d"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
